"X","Nom.cité.dans.le.texte","Nom.français.cité.dans.le.texte","Nom.valide","INTITULE","ARRETE","ARTICLE","CD_NOM"
NA,"Motacilla flava","Bergeronette printanière","Motacilla flava thunbergi Billeberg, 1829","Liste des oiseaux protégés sur l'ensemble du territoire et les modalités de leur protection","Arrêté interministériel du 29 octobre 2009 fixant la liste des oiseaux protégés sur l’ensemble du territoire et les modalités de leur protection (JORF 5 décembre 2009, p. 21056)","Article 3",3751
NA,"Motacilla flava","Bergeronette printanière","Motacilla flava Linnaeus, 1758","Liste des oiseaux protégés sur l'ensemble du territoire et les modalités de leur protection","Arrêté interministériel du 29 octobre 2009 fixant la liste des oiseaux protégés sur l’ensemble du territoire et les modalités de leur protection (JORF 5 décembre 2009, p. 21056)","Article 3",3741
NA,"Muscicapa striata","Gobemouche gris","Muscicapa striata (Pallas, 1764)","Liste des oiseaux protégés sur l'ensemble du territoire et les modalités de leur protection","Arrêté interministériel du 29 octobre 2009 fixant la liste des oiseaux protégés sur l’ensemble du territoire et les modalités de leur protection (JORF 5 décembre 2009, p. 21056)","Article 3",4319
NA,"Neophron percnopterus","Vautour percnoptère/Percnoptère d'Egypte","Neophron percnopterus (Linnaeus, 1758)","Liste des oiseaux protégés sur l'ensemble du territoire et les modalités de leur protection","Arrêté interministériel du 29 octobre 2009 fixant la liste des oiseaux protégés sur l’ensemble du territoire et les modalités de leur protection (JORF 5 décembre 2009, p. 21056)","Article 3",2856
NA,"Nucifraga caryocatactes","Casse-noix moucheté","Nucifraga caryocatactes caryocatactes (Linnaeus, 1758)","Liste des oiseaux protégés sur l'ensemble du territoire et les modalités de leur protection","Arrêté interministériel du 29 octobre 2009 fixant la liste des oiseaux protégés sur l’ensemble du territoire et les modalités de leur protection (JORF 5 décembre 2009, p. 21056)","Article 3",4482
NA,"Nucifraga caryocatactes","Casse-noix moucheté","Nucifraga caryocatactes macrorhynchus Brehm, 1823","Liste des oiseaux protégés sur l'ensemble du territoire et les modalités de leur protection","Arrêté interministériel du 29 octobre 2009 fixant la liste des oiseaux protégés sur l’ensemble du territoire et les modalités de leur protection (JORF 5 décembre 2009, p. 21056)","Article 3",4483
NA,"Nucifraga caryocatactes","Casse-noix moucheté","Nucifraga caryocatactes (Linnaeus, 1758)","Liste des oiseaux protégés sur l'ensemble du territoire et les modalités de leur protection","Arrêté interministériel du 29 octobre 2009 fixant la liste des oiseaux protégés sur l’ensemble du territoire et les modalités de leur protection (JORF 5 décembre 2009, p. 21056)","Article 3",4480
NA,"Numenius tenuirostris","Courlis à bec grêle","Numenius tenuirostris Vieillot, 1817","Liste des oiseaux protégés sur l'ensemble du territoire et les modalités de leur protection","Arrêté interministériel du 29 octobre 2009 fixant la liste des oiseaux protégés sur l’ensemble du territoire et les modalités de leur protection (JORF 5 décembre 2009, p. 21056)","Article 4",2574
NA,"Nycticorax nycticorax","Bihoreau gris/Héron bihoreau","Nycticorax nycticorax (Linnaeus, 1758)","Liste des oiseaux protégés sur l'ensemble du territoire et les modalités de leur protection","Arrêté interministériel du 29 octobre 2009 fixant la liste des oiseaux protégés sur l’ensemble du territoire et les modalités de leur protection (JORF 5 décembre 2009, p. 21056)","Article 3",2481
NA,"Oceanodroma castro","Océanite de Castro/Pétrel de Castro","Hydrobates castro (Harcourt, 1851)","Liste des oiseaux protégés sur l'ensemble du territoire et les modalités de leur protection","Arrêté interministériel du 29 octobre 2009 fixant la liste des oiseaux protégés sur l’ensemble du territoire et les modalités de leur protection (JORF 5 décembre 2009, p. 21056)","Article 4",790985
NA,"Oceanodroma leucorhoa","Océanite culblanc/Pétrel culblanc","Hydrobates leucorhous (Vieillot, 1818)","Liste des oiseaux protégés sur l'ensemble du territoire et les modalités de leur protection","Arrêté interministériel du 29 octobre 2009 fixant la liste des oiseaux protégés sur l’ensemble du territoire et les modalités de leur protection (JORF 5 décembre 2009, p. 21056)","Article 3",790986
NA,"Oceanodroma monorhis","Océanite de Swinhoe/Pétrel de Swinhoe","Hydrobates monorhis (Swinhoe, 1867)","Liste des oiseaux protégés sur l'ensemble du territoire et les modalités de leur protection","Arrêté interministériel du 29 octobre 2009 fixant la liste des oiseaux protégés sur l’ensemble du territoire et les modalités de leur protection (JORF 5 décembre 2009, p. 21056)","Article 4",828785
NA,"Oenanthe deserti","Traquet du désert","Oenanthe deserti (Temminck, 1825)","Liste des oiseaux protégés sur l'ensemble du territoire et les modalités de leur protection","Arrêté interministériel du 29 octobre 2009 fixant la liste des oiseaux protégés sur l’ensemble du territoire et les modalités de leur protection (JORF 5 décembre 2009, p. 21056)","Article 4",199428
NA,"Oenanthe hispanica","Traquet oreillard","Oenanthe hispanica (Linnaeus, 1758)","Liste des oiseaux protégés sur l'ensemble du territoire et les modalités de leur protection","Arrêté interministériel du 29 octobre 2009 fixant la liste des oiseaux protégés sur l’ensemble du territoire et les modalités de leur protection (JORF 5 décembre 2009, p. 21056)","Article 3",4074
NA,"Oenanthe isabellina","Traquet isabelle","Oenanthe isabellina (Temminck, 1829)","Liste des oiseaux protégés sur l'ensemble du territoire et les modalités de leur protection","Arrêté interministériel du 29 octobre 2009 fixant la liste des oiseaux protégés sur l’ensemble du territoire et les modalités de leur protection (JORF 5 décembre 2009, p. 21056)","Article 4",4062
NA,"Oenanthe leucopyga","Traquet à tête blanche","Oenanthe leucopyga (C.L. Brehm, 1855)","Liste des oiseaux protégés sur l'ensemble du territoire et les modalités de leur protection","Arrêté interministériel du 29 octobre 2009 fixant la liste des oiseaux protégés sur l’ensemble du territoire et les modalités de leur protection (JORF 5 décembre 2009, p. 21056)","Article 4",199432
NA,"Oenanthe leucura","Traquet rieur","Oenanthe leucura (Gmelin, 1789)","Liste des oiseaux protégés sur l'ensemble du territoire et les modalités de leur protection","Arrêté interministériel du 29 octobre 2009 fixant la liste des oiseaux protégés sur l’ensemble du territoire et les modalités de leur protection (JORF 5 décembre 2009, p. 21056)","Article 3",4080
NA,"Oenanthe oenanthe","Traquet motteux","Oenanthe oenanthe leucorhoa (Gmelin, 1789)","Liste des oiseaux protégés sur l'ensemble du territoire et les modalités de leur protection","Arrêté interministériel du 29 octobre 2009 fixant la liste des oiseaux protégés sur l’ensemble du territoire et les modalités de leur protection (JORF 5 décembre 2009, p. 21056)","Article 3",4068
NA,"Oenanthe oenanthe","Traquet motteux","Oenanthe oenanthe oenanthe (Linnaeus, 1758)","Liste des oiseaux protégés sur l'ensemble du territoire et les modalités de leur protection","Arrêté interministériel du 29 octobre 2009 fixant la liste des oiseaux protégés sur l’ensemble du territoire et les modalités de leur protection (JORF 5 décembre 2009, p. 21056)","Article 3",4067
NA,"Oenanthe oenanthe","Traquet motteux","Oenanthe oenanthe (Linnaeus, 1758)","Liste des oiseaux protégés sur l'ensemble du territoire et les modalités de leur protection","Arrêté interministériel du 29 octobre 2009 fixant la liste des oiseaux protégés sur l’ensemble du territoire et les modalités de leur protection (JORF 5 décembre 2009, p. 21056)","Article 3",4064
NA,"Oenanthe pleschanka","Traquet pie","Oenanthe pleschanka (Lepechin, 1770)","Liste des oiseaux protégés sur l'ensemble du territoire et les modalités de leur protection","Arrêté interministériel du 29 octobre 2009 fixant la liste des oiseaux protégés sur l’ensemble du territoire et les modalités de leur protection (JORF 5 décembre 2009, p. 21056)","Article 4",4070
NA,"Oriolus oriolus","Loriot d'Europe/Loriot jaune","Oriolus oriolus (Linnaeus, 1758)","Liste des oiseaux protégés sur l'ensemble du territoire et les modalités de leur protection","Arrêté interministériel du 29 octobre 2009 fixant la liste des oiseaux protégés sur l’ensemble du territoire et les modalités de leur protection (JORF 5 décembre 2009, p. 21056)","Article 3",3803
NA,"Otis tarda","Outarde barbue/Grande outarde","Otis tarda Linnaeus, 1758","Liste des oiseaux protégés sur l'ensemble du territoire et les modalités de leur protection","Arrêté interministériel du 29 octobre 2009 fixant la liste des oiseaux protégés sur l’ensemble du territoire et les modalités de leur protection (JORF 5 décembre 2009, p. 21056)","Article 3",3101
NA,"Otus scops","Petit-duc scops/Hibou petit-duc","Otus scops (Linnaeus, 1758)","Liste des oiseaux protégés sur l'ensemble du territoire et les modalités de leur protection","Arrêté interministériel du 29 octobre 2009 fixant la liste des oiseaux protégés sur l’ensemble du territoire et les modalités de leur protection (JORF 5 décembre 2009, p. 21056)","Article 3",3489
NA,"Oxyura leucocephala","Erismature à tête blanche","Oxyura leucocephala (Scopoli, 1769)","Liste des oiseaux protégés sur l'ensemble du territoire et les modalités de leur protection","Arrêté interministériel du 29 octobre 2009 fixant la liste des oiseaux protégés sur l’ensemble du territoire et les modalités de leur protection (JORF 5 décembre 2009, p. 21056)","Article 3",2826
NA,"Pagophila eburnea","Mouette blanche/Mouette ivoire/Goéland sénateur","Pagophila eburnea (Phipps, 1774)","Liste des oiseaux protégés sur l'ensemble du territoire et les modalités de leur protection","Arrêté interministériel du 29 octobre 2009 fixant la liste des oiseaux protégés sur l’ensemble du territoire et les modalités de leur protection (JORF 5 décembre 2009, p. 21056)","Article 4",3322
NA,"Pandion haliaetus","Balbuzard pêcheur/Balbuzard fluviatile","Pandion haliaetus (Linnaeus, 1758)","Liste des oiseaux protégés sur l'ensemble du territoire et les modalités de leur protection","Arrêté interministériel du 29 octobre 2009 fixant la liste des oiseaux protégés sur l’ensemble du territoire et les modalités de leur protection (JORF 5 décembre 2009, p. 21056)","Article 3",2660
NA,"Panurus biarmicus","Mésange à moustaches/Panure à moustaches","Panurus biarmicus (Linnaeus, 1758)","Liste des oiseaux protégés sur l'ensemble du territoire et les modalités de leur protection","Arrêté interministériel du 29 octobre 2009 fixant la liste des oiseaux protégés sur l’ensemble du territoire et les modalités de leur protection (JORF 5 décembre 2009, p. 21056)","Article 3",4338
NA,"Parula americana","Paruline à collier/Sylvette parula","Setophaga americana (Linnaeus, 1758)","Liste des oiseaux protégés sur l'ensemble du territoire et les modalités de leur protection","Arrêté interministériel du 29 octobre 2009 fixant la liste des oiseaux protégés sur l’ensemble du territoire et les modalités de leur protection (JORF 5 décembre 2009, p. 21056)","Article 4",627455
NA,"Parus ater","Mésange noire","Periparus ater sardus Kleinschmidt, 1903","Liste des oiseaux protégés sur l'ensemble du territoire et les modalités de leur protection","Arrêté interministériel du 29 octobre 2009 fixant la liste des oiseaux protégés sur l’ensemble du territoire et les modalités de leur protection (JORF 5 décembre 2009, p. 21056)","Article 3",938971
NA,"Parus ater","Mésange noire","Periparus ater (Linnaeus, 1758)","Liste des oiseaux protégés sur l'ensemble du territoire et les modalités de leur protection","Arrêté interministériel du 29 octobre 2009 fixant la liste des oiseaux protégés sur l’ensemble du territoire et les modalités de leur protection (JORF 5 décembre 2009, p. 21056)","Article 3",534751
NA,"Parus caeruleus","Mésange bleue","Cyanistes caeruleus (Linnaeus, 1758)","Liste des oiseaux protégés sur l'ensemble du territoire et les modalités de leur protection","Arrêté interministériel du 29 octobre 2009 fixant la liste des oiseaux protégés sur l’ensemble du territoire et les modalités de leur protection (JORF 5 décembre 2009, p. 21056)","Article 3",534742
NA,"Parus cristatus","Mésange huppée","Lophophanes cristatus (Linnaeus, 1758)","Liste des oiseaux protégés sur l'ensemble du territoire et les modalités de leur protection","Arrêté interministériel du 29 octobre 2009 fixant la liste des oiseaux protégés sur l’ensemble du territoire et les modalités de leur protection (JORF 5 décembre 2009, p. 21056)","Article 3",534750
NA,"Parus cyanus","Mésange azurée","Cyanistes cyanus (Pallas, 1770)","Liste des oiseaux protégés sur l'ensemble du territoire et les modalités de leur protection","Arrêté interministériel du 29 octobre 2009 fixant la liste des oiseaux protégés sur l’ensemble du territoire et les modalités de leur protection (JORF 5 décembre 2009, p. 21056)","Article 4",534743
NA,"Parus major","Mésange charbonnière","Parus major Linnaeus, 1758","Liste des oiseaux protégés sur l'ensemble du territoire et les modalités de leur protection","Arrêté interministériel du 29 octobre 2009 fixant la liste des oiseaux protégés sur l’ensemble du territoire et les modalités de leur protection (JORF 5 décembre 2009, p. 21056)","Article 3",3764
NA,"Parus montanus","Mésange boréale","Poecile montanus montanus (Conrad von Baldenstein, 1827)","Liste des oiseaux protégés sur l'ensemble du territoire et les modalités de leur protection","Arrêté interministériel du 29 octobre 2009 fixant la liste des oiseaux protégés sur l’ensemble du territoire et les modalités de leur protection (JORF 5 décembre 2009, p. 21056)","Article 3",886211
NA,"Parus montanus","Mésange boréale","Poecile montanus rhenanus (Kleinschmidt, 1910)","Liste des oiseaux protégés sur l'ensemble du territoire et les modalités de leur protection","Arrêté interministériel du 29 octobre 2009 fixant la liste des oiseaux protégés sur l’ensemble du territoire et les modalités de leur protection (JORF 5 décembre 2009, p. 21056)","Article 3",886212
NA,"Parus montanus","Mésange boréale","Poecile montanus (Conrad von Baldenstein, 1827)","Liste des oiseaux protégés sur l'ensemble du territoire et les modalités de leur protection","Arrêté interministériel du 29 octobre 2009 fixant la liste des oiseaux protégés sur l’ensemble du territoire et les modalités de leur protection (JORF 5 décembre 2009, p. 21056)","Article 3",534752
NA,"Parus palustris","Mésange nonnette","Poecile palustris (Linnaeus, 1758)","Liste des oiseaux protégés sur l'ensemble du territoire et les modalités de leur protection","Arrêté interministériel du 29 octobre 2009 fixant la liste des oiseaux protégés sur l’ensemble du territoire et les modalités de leur protection (JORF 5 décembre 2009, p. 21056)","Article 3",534753
NA,"Passer domesticus","Moineau domestique","Passer domesticus domesticus (Linnaeus, 1758)","Liste des oiseaux protégés sur l'ensemble du territoire et les modalités de leur protection","Arrêté interministériel du 29 octobre 2009 fixant la liste des oiseaux protégés sur l’ensemble du territoire et les modalités de leur protection (JORF 5 décembre 2009, p. 21056)","Article 3",4527
NA,"Passer domesticus","Moineau domestique","Passer domesticus (Linnaeus, 1758)","Liste des oiseaux protégés sur l'ensemble du territoire et les modalités de leur protection","Arrêté interministériel du 29 octobre 2009 fixant la liste des oiseaux protégés sur l’ensemble du territoire et les modalités de leur protection (JORF 5 décembre 2009, p. 21056)","Article 3",4525
NA,"Passer hispaniolensis","Moineau espagnol","Passer hispaniolensis (Temminck, 1820)","Liste des oiseaux protégés sur l'ensemble du territoire et les modalités de leur protection","Arrêté interministériel du 29 octobre 2009 fixant la liste des oiseaux protégés sur l’ensemble du territoire et les modalités de leur protection (JORF 5 décembre 2009, p. 21056)","Article 3",4530
