"";"Nom cité dans le texte";"Nom français cité dans le texte";"Nom valide";"INTITULE";"ARRETE";"ARTICLE";"CD_NOM"
"";"Chelonia mydas";"Tortue verte";"Chelonia mydas (Linnaeus, 1758)";"Liste des tortues marines protégées sur le territoire national et les modalités de leur protection";"Arrêté du 10 novembre 2022 fixant la liste des tortues marines protégées sur le territoire national et les modalités de leur protection. (JORF n°0282 du 6 décembre 2022, texte n°26).";"Article 3";"77338"
"";"Caretta caretta";"Tortue caouanne";"Caretta caretta (Linnaeus, 1758)";"Liste des tortues marines protégées sur le territoire national et les modalités de leur protection";"Arrêté du 10 novembre 2022 fixant la liste des tortues marines protégées sur le territoire national et les modalités de leur protection. (JORF n°0282 du 6 décembre 2022, texte n°26).";"Article 3";"77330"
"";"Chelonia mydas";"";"Chelonia mydas (Linnaeus, 1758)";"Liste des tortues marines protégées sur le territoire national et les modalités de leur protection";"Arrêté du 10 novembre 2022 fixant la liste des tortues marines protégées sur le territoire national et les modalités de leur protection. (JORF n°0282 du 6 décembre 2022, texte n°26).";"Article 9";"77338"
"";"Dermochelys coriacea";"Tortue luth";"Dermochelys coriacea (Vandellius, 1761)";"Liste des tortues marines protégées sur le territoire national et les modalités de leur protection";"Arrêté du 10 novembre 2022 fixant la liste des tortues marines protégées sur le territoire national et les modalités de leur protection. (JORF n°0282 du 6 décembre 2022, texte n°26).";"Article 3";"77367"
"";"Eretmochelys imbricata";"Tortue imbriquée";"Eretmochelys imbricata (Linnaeus, 1766)";"Liste des tortues marines protégées sur le territoire national et les modalités de leur protection";"Arrêté du 10 novembre 2022 fixant la liste des tortues marines protégées sur le territoire national et les modalités de leur protection. (JORF n°0282 du 6 décembre 2022, texte n°26).";"Article 3";"77347"
"";"Eretmochelys imbricata";"";"Eretmochelys imbricata (Linnaeus, 1766)";"Liste des tortues marines protégées sur le territoire national et les modalités de leur protection";"Arrêté du 10 novembre 2022 fixant la liste des tortues marines protégées sur le territoire national et les modalités de leur protection. (JORF n°0282 du 6 décembre 2022, texte n°26).";"Article 9";"77347"
"";"Lepidochelys kempii";"Tortue de Kemp";"Lepidochelys kempii (Garman, 1880)";"Liste des tortues marines protégées sur le territoire national et les modalités de leur protection";"Arrêté du 10 novembre 2022 fixant la liste des tortues marines protégées sur le territoire national et les modalités de leur protection. (JORF n°0282 du 6 décembre 2022, texte n°26).";"Article 3";"77352"
"";"Lepidochelys olivacea";"Tortue olivâtre";"Lepidochelys olivacea (Eschscholtz, 1829)";"Liste des tortues marines protégées sur le territoire national et les modalités de leur protection";"Arrêté du 10 novembre 2022 fixant la liste des tortues marines protégées sur le territoire national et les modalités de leur protection. (JORF n°0282 du 6 décembre 2022, texte n°26).";"Article 3";"77360"
