"";"Nom cité dans le texte";"Nom français cité dans le texte";"Nom valide";"INTITULE";"ARRETE";"ARTICLE";"CD_NOM"
"";"Armeria alliacea (Cav.) Hoffm. et Link.";"Armérie faux-plantain";"Armeria arenaria (Pers.) Schult., 1820 subsp. arenaria";"Liste des espèces végétales protégées en région Picardie";"Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale";"Article 1";"131641"
"";"Armeria alliacea (Cav.) Hoffm. et Link.";"Armérie faux-plantain";"Armeria arenaria subsp. bupleuroides (Godr. & Gren.) Greuter & Burdet, 1989";"Liste des espèces végétales protégées en région Picardie";"Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale";"Article 1";"131643"
"";"Armeria alliacea (Cav.) Hoffm. et Link.";"Armérie faux-plantain";"Armeria arenaria subsp. pradetensis Médail, Baumel & Auda, 2009";"Liste des espèces végétales protégées en région Picardie";"Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale";"Article 1";"459326"
"";"Armeria alliacea (Cav.) Hoffm. et Link.";"Armérie faux-plantain";"Armeria arenaria subsp. praecox (Jord.) Kerguélen, 1987";"Liste des espèces végétales protégées en région Picardie";"Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale";"Article 1";"131645"
"";"Armeria alliacea (Cav.) Hoffm. et Link.";"Armérie faux-plantain";"Armeria arenaria (Pers.) Schult., 1820";"Liste des espèces végétales protégées en région Picardie";"Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale";"Article 1";"83809"
"";"Aconitum napellus L. ssp. neomontanum (Wulf.) Gayer";"Aconit pyramidal";"Aconitum napellus subsp. lusitanicum Rouy, 1884";"Liste des espèces végétales protégées en région Picardie";"Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale";"Article 1";"130787"
"";"Alchemilla glaucescens Wallr.";"Alchémille glauque";"Alchemilla glaucescens Wallr., 1840";"Liste des espèces végétales protégées en région Picardie";"Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale";"Article 1";"81091"
"";"Anagallis tenella (L.) L.";"Mouron délicat";"Lysimachia tenella L., 1753";"Liste des espèces végétales protégées en région Picardie";"Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale";"Article 1";"107085"
"";"Anthericum ramosum L.";"Phalangère rameuse";"Anthericum ramosum L., 1753";"Liste des espèces végétales protégées en région Picardie";"Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale";"Article 1";"82909"
"";"Apium repens (Jacq.) Lag.";"Ache rampante";"Helosciadium repens (Jacq.) W.D.J.Koch, 1824";"Liste des espèces végétales protégées en région Picardie";"Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale";"Article 1";"101223"
"";"Atriplex glabriuscula Edmondston";"Arroche de Babington";"Atriplex glabriuscula Edmondston, 1845";"Liste des espèces végétales protégées en région Picardie";"Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale";"Article 1";"85063"
"";"Bothriochloa ischaemum (L.) Keng";"Barbon pied-de-Poule";"Bothriochloa ischaemum (L.) Keng, 1936";"Liste des espèces végétales protégées en région Picardie";"Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale";"Article 1";"86169"
"";"Botrychium lunaria (L.) Swartz";"Botryche lunaire";"Botrychium lunaria (L.) Sw., 1801 var. lunaria";"Liste des espèces végétales protégées en région Picardie";"Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale";"Article 1";"970780"
"";"Botrychium lunaria (L.) Swartz";"Botryche lunaire";"Botrychium lunaria (L.) Sw., 1801";"Liste des espèces végétales protégées en région Picardie";"Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale";"Article 1";"86183"
"";"Carex canescens L.";"Laiche tronquée";"Carex divulsa Stokes, 1787";"Liste des espèces végétales protégées en région Picardie";"Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale";"Article 1";"88483"
"";"Carex diandra Schrank";"Laiche arrondie";"Carex diandra Schrank, 1781";"Liste des espèces végétales protégées en région Picardie";"Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale";"Article 1";"88468"
"";"Carex halleriana Asso";"Laiche de Haller";"Carex halleriana Asso, 1779";"Liste des espèces végétales protégées en région Picardie";"Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale";"Article 1";"88560"
"";"Carex laevigata Smith";"Laiche lisse";"Carex laevigata Sm., 1800";"Liste des espèces végétales protégées en région Picardie";"Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale";"Article 1";"88608"
