"";"Nom cité dans le texte";"Nom français cité dans le texte";"Nom valide";"INTITULE";"ARRETE";"ARTICLE";"CD_NOM"
"";"Astacus astacus (Linnaeus, 1758)";"Ecrevisse à pieds rouges";"Astacus astacus (Linnaeus, 1758)";"Protection des écrevisses autochtones sur le territoire français métropolitain";"Arrêté interministériel du 21 juillet 1983, modifié par l'arrêté du 18 janvier 2000, relatif à la protection des écrevisses autochtones";"Article 1";"18432"
"";"Austropotamobius pallipes (Lereboullet, 1858)";"Ecrevisse à pieds blancs";"Austropotamobius pallipes (Lereboullet, 1858)";"Protection des écrevisses autochtones sur le territoire français métropolitain";"Arrêté interministériel du 21 juillet 1983, modifié par l'arrêté du 18 janvier 2000, relatif à la protection des écrevisses autochtones";"Article 1";"18437"
"";"Austropotamobius torrentium (Shrank, 1803)";"Ecrevisse des torrents";"Austropotamobius torrentium (Schrank, 1803)";"Protection des écrevisses autochtones sur le territoire français métropolitain";"Arrêté interministériel du 21 juillet 1983, modifié par l'arrêté du 18 janvier 2000, relatif à la protection des écrevisses autochtones";"Article 1";"159447"
