"";"Nom cité dans le texte";"Nom français cité dans le texte";"Nom valide";"INTITULE";"ARRETE";"ARTICLE";"CD_NOM"
"";"Leucoium nicaeense Ardoino.";"Nivéole de Nice";"Acis nicaeensis (Ardoino) Lledó, A.P.Davis & M.B.Crespo, 2004";"Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)";"Article 1";"610608"
"";"Ligularia sibirica Coss.";"Ligulaire (Séneçon) de Sibérie";"Ligularia sibirica (L.) Cass., 1823";"Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)";"Article 1";"105908"
"";"Limoniastrum monopetalum (Li.) Boiss.";"Grand statice, Limoniastrum";"Limoniastrum monopetalum (L.) Boiss., 1848";"Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)";"Article 1";"106037"
"";"Limonium cordatum (L.) Mill.";"Statice à feuilles cordées";"Limonium cordatum (L.) Mill., 1768";"Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)";"Article 1";"106056"
"";"Limonium dictyocladum O. Kuntze.";"Statice à rameaux raides";"Limonium strictissimum (Salzm.) Arrigoni, 1990";"Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)";"Article 1";"106105"
"";"Limonium diffusum O. Kuntze.";"Statice diffus";"Myriolimon diffusum (Pourr.) Lledó, Erben & M.B.Crespo, 2005";"Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)";"Article 1";"717322"
"";"Limonium girardianum Fourr.";"Statice de Girard";"Limonium girardianum (Guss.) Fourr., 1869";"Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)";"Article 1";"106077"
"";"Limonium humile Miller.";"Petit statice";"Limonium humile Mill., 1768";"Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)";"Article 1";"106080"
"";"Limonium ramosissimum (Poiret) Mair. ssp. provinciale Pignatti";"Statice de Provence";"Limonium cuspidatum (Delort) Erben, 1978";"Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)";"Article 1";"106058"
"";"Limonium salmonis Pign.";"Statice de Salmon";"Limonium binervosum (G.E.Sm.) C.E.Salmon, 1907";"Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)";"Article 1";"106047"
