"";"Nom cité dans le texte";"Nom français cité dans le texte";"Nom valide";"INTITULE";"ARRETE";"ARTICLE";"CD_NOM"
"";"Emys orbicularis (Linnaeus, 1758)";"Cistude d'Europe";"Emys orbicularis hellenica (Valenciennes in Bibron & Bory de Saint-Vincent, 1833)";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection [JORF n°0036 du 11 février 2021, Texte n° 3].";"Article 2";"77397"
"";"Emys orbicularis (Linnaeus, 1758)";"Cistude d'Europe";"Emys orbicularis occidentalis Fritz, 1993";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection [JORF n°0036 du 11 février 2021, Texte n° 3].";"Article 2";"699678"
"";"Emys orbicularis (Linnaeus, 1758)";"Cistude d'Europe";"Emys orbicularis orbicularis (Linnaeus, 1758)";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection [JORF n°0036 du 11 février 2021, Texte n° 3].";"Article 2";"77396"
"";"Emys orbicularis (Linnaeus, 1758)";"Cistude d'Europe";"Emys orbicularis (Linnaeus, 1758)";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection [JORF n°0036 du 11 février 2021, Texte n° 3].";"Article 2";"77381"
"";"Epidalea calamita (Laurenti, 1768)";"Crapaud calamite";"Epidalea calamita (Laurenti, 1768)";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection [JORF n°0036 du 11 février 2021, Texte n° 3].";"Article 2";"459628"
"";"Euleptes europaea (Gené, 1839)";"Eulepte d'Europe";"Euleptes europaea (Gené, 1839)";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection [JORF n°0036 du 11 février 2021, Texte n° 3].";"Article 2";"79271"
"";"Euproctus montanus (Savi, 1838)";"Euprocte de Corse";"Euproctus montanus (Savi, 1838)";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection [JORF n°0036 du 11 février 2021, Texte n° 3].";"Article 2";"59"
"";"Hemidactylus turcicus (Linnaeus, 1758)";"Gecko verruqueux, Hémidactyle verruqueux";"Hemidactylus turcicus turcicus (Linnaeus, 1758)";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection [JORF n°0036 du 11 février 2021, Texte n° 3].";"Article 3";"699674"
"";"Hemidactylus turcicus (Linnaeus, 1758)";"Gecko verruqueux, Hémidactyle verruqueux";"Hemidactylus turcicus (Linnaeus, 1758)";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection [JORF n°0036 du 11 février 2021, Texte n° 3].";"Article 3";"77559"
"";"Hierophis viridiflavus (Lacepède, 1789)";"Couleuvre verte et jaune";"Hierophis viridiflavus viridiflavus (Lacepède, 1789)";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection [JORF n°0036 du 11 février 2021, Texte n° 3].";"Article 2";"951923"
"";"Hierophis viridiflavus (Lacepède, 1789)";"Couleuvre verte et jaune";"Hierophis viridiflavus (Lacepède, 1789)";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection [JORF n°0036 du 11 février 2021, Texte n° 3].";"Article 2";"77949"
"";"Hyla arborea (Linnaeus, 1758)";"Rainette verte";"Hyla arborea arborea (Linnaeus, 1758)";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection [JORF n°0036 du 11 février 2021, Texte n° 3].";"Article 2";"287"
"";"Hyla arborea (Linnaeus, 1758)";"Rainette verte";"Hyla arborea (Linnaeus, 1758)";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection [JORF n°0036 du 11 février 2021, Texte n° 3].";"Article 2";"281"
"";"Hyla meridionalis Boettger, 1874";"Rainette méridionale";"Hyla meridionalis Böttger, 1874";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection [JORF n°0036 du 11 février 2021, Texte n° 3].";"Article 2";"292"
"";"Hyla molleri Bedriaga 1889";"Rainette ibérique";"Hyla molleri Bedriaga, 1889";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection [JORF n°0036 du 11 février 2021, Texte n° 3].";"Article 2";"774683"
"";"Hyla sarda (Betta, 1857)";"Rainette corse";"Hyla sarda (Betta, 1857)";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection [JORF n°0036 du 11 février 2021, Texte n° 3].";"Article 2";"79261"
"";"Iberolacerta aranica (Arribas, 1993)";"Lézard du Val d'Aran";"Iberolacerta aranica (Arribas, 1993)";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection [JORF n°0036 du 11 février 2021, Texte n° 3].";"Article 2";"79283"
"";"Iberolacerta aurelioi (Arribas, 1994)";"Lézard d'Aurelio";"Iberolacerta aurelioi (Arribas, 1994)";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection [JORF n°0036 du 11 février 2021, Texte n° 3].";"Article 2";"79284"
"";"Iberolacerta bonnali (Lantz, 1927)";"Lézard de Bonnal";"Iberolacerta bonnali (Lantz, 1927)";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection [JORF n°0036 du 11 février 2021, Texte n° 3].";"Article 2";"79285"
"";"Ichthyosaura alpestris (Laurenti, 1768)";"Triton alpestre";"Ichthyosaura alpestris alpestris (Laurenti, 1768)";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection [JORF n°0036 du 11 février 2021, Texte n° 3].";"Article 3";"699553"
"";"Ichthyosaura alpestris (Laurenti, 1768)";"Triton alpestre";"Ichthyosaura alpestris apuana (Bonaparte, 1839)";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection [JORF n°0036 du 11 février 2021, Texte n° 3].";"Article 3";"699558"
"";"Ichthyosaura alpestris (Laurenti, 1768)";"Triton alpestre";"Ichthyosaura alpestris (Laurenti, 1768)";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection [JORF n°0036 du 11 février 2021, Texte n° 3].";"Article 3";"444430"
"";"Lacerta agilis Linnaeus, 1758";"Lézard des souches";"Lacerta agilis agilis Linnaeus, 1758";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection [JORF n°0036 du 11 février 2021, Texte n° 3].";"Article 2";"77603"
"";"Lacerta agilis Linnaeus, 1758";"Lézard des souches";"Lacerta agilis garzoni Palacios & Castraviejo, 1975";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection [JORF n°0036 du 11 février 2021, Texte n° 3].";"Article 2";"432579"
"";"Lacerta agilis Linnaeus, 1758";"Lézard des souches";"Lacerta agilis Linnaeus, 1758";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection [JORF n°0036 du 11 février 2021, Texte n° 3].";"Article 2";"77600"
"";"Lacerta bilineata Daudin, 1802";"Lézard à deux raies, Lézard vert occidental";"Lacerta bilineata bilineata Daudin, 1802";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection [JORF n°0036 du 11 février 2021, Texte n° 3].";"Article 2";"699672"
"";"Lacerta bilineata Daudin, 1802";"Lézard à deux raies, Lézard vert occidental";"Lacerta bilineata Daudin, 1802";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection [JORF n°0036 du 11 février 2021, Texte n° 3].";"Article 2";"77619"
"";"Lissotriton helveticus (Razoumowsky, 1789)";"Triton palmé";"Lissotriton helveticus helveticus (Razoumowsky, 1789)";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection [JORF n°0036 du 11 février 2021, Texte n° 3].";"Article 3";"699691"
"";"Lissotriton helveticus (Razoumowsky, 1789)";"Triton palmé";"Lissotriton helveticus (Razoumowsky, 1789)";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection [JORF n°0036 du 11 février 2021, Texte n° 3].";"Article 3";"444432"
"";"Lissotriton vulgaris (Linnaeus, 1758)";"Triton ponctué";"Lissotriton vulgaris vulgaris (Linnaeus, 1758)";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection [JORF n°0036 du 11 février 2021, Texte n° 3].";"Article 3";"699564"
"";"Lissotriton vulgaris (Linnaeus, 1758)";"Triton ponctué";"Lissotriton vulgaris (Linnaeus, 1758)";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection [JORF n°0036 du 11 février 2021, Texte n° 3].";"Article 3";"444431"
"";"Malpolon monspessulanus (Hernann, 1804)";"Couleuvre de Montpellier";"Malpolon monspessulanus (Hermann, 1804)";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection [JORF n°0036 du 11 février 2021, Texte n° 3].";"Article 3";"78039"
"";"Mauremys leprosa (Schweigger, 1812)";"Émyde lépreuse";"Mauremys leprosa leprosa (Schweigger, 1812)";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection [JORF n°0036 du 11 février 2021, Texte n° 3].";"Article 2";"699679"
