"";"Nom cité dans le texte";"Nom français cité dans le texte";"Nom valide";"INTITULE";"ARRETE";"ARTICLE";"CD_NOM"
"";"Centrostephanus longispinus (Philippi, 1845)";"Oursin diadème, oursin à longs piquants";"Centrostephanus longispinus (Philippi, 1845)";"Liste des animaux de la faune marine protégés sur l’ensemble du territoire français métropolitain";"Arrêté interministériel du 20 décembre 2004 fixant la liste des animaux de la faune marine protégés sur l’ensemble du territoire (JORF 7 janvier 2005, p. 325) (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, p. 17531)";"Article 1";"159448"
"";"Lithophaga lithophaga (Linnaeus, 1758)";"Datte de mer";"Lithophaga lithophaga (Linnaeus, 1758)";"Liste des animaux de la faune marine protégés sur l’ensemble du territoire français métropolitain";"Arrêté interministériel du 20 décembre 2004 fixant la liste des animaux de la faune marine protégés sur l’ensemble du territoire (JORF 7 janvier 2005, p. 325) (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, p. 17531)";"Article 1";"64357"
"";"Patella ferruginea (Gmelin, 1791)";"Patelle géante";"Patella ferruginea Gmelin, 1791";"Liste des animaux de la faune marine protégés sur l’ensemble du territoire français métropolitain";"Arrêté interministériel du 20 décembre 2004 fixant la liste des animaux de la faune marine protégés sur l’ensemble du territoire (JORF 7 janvier 2005, p. 325) (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, p. 17531)";"Article 1";"61841"
"";"Pinna nobilis (Linnaeus, 1758)";"Grande nacre, jambonneau hérissé";"Pinna nobilis Linnaeus, 1758";"Liste des animaux de la faune marine protégés sur l’ensemble du territoire français métropolitain";"Arrêté interministériel du 20 décembre 2004 fixant la liste des animaux de la faune marine protégés sur l’ensemble du territoire (JORF 7 janvier 2005, p. 325) (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, p. 17531)";"Article 1";"64365"
"";"Pinna pernula (Chemnitz, 1785)";"jambonneau rude";"Pinna rudis Linnaeus, 1758";"Liste des animaux de la faune marine protégés sur l’ensemble du territoire français métropolitain";"Arrêté interministériel du 20 décembre 2004 fixant la liste des animaux de la faune marine protégés sur l’ensemble du territoire (JORF 7 janvier 2005, p. 325) (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, p. 17531)";"Article 1";"199181"
"";"Scyllarides latus (Latreille, 1803)";"Grande cigale de mer";"Scyllarides latus (Latreille, 1803)";"Liste des animaux de la faune marine protégés sur l’ensemble du territoire français métropolitain";"Arrêté interministériel du 20 décembre 2004 fixant la liste des animaux de la faune marine protégés sur l’ensemble du territoire (JORF 7 janvier 2005, p. 325) (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, p. 17531)";"Article 1";"18445"
