"";"Nom cité dans le texte";"Nom français cité dans le texte";"Nom valide";"INTITULE";"ARRETE";"ARTICLE";"CD_NOM"
"";"Sium latifolium L.";"Grande berle";"Sium latifolium L., 1753";"Liste des espèces végétales protégées en région Nord-Pas-de-Calais";"Arrêté interministériel du 1er avril 1991 relatif à la liste des espèces végétales protégées en région Nord-Pas-de-Calais complétant la liste nationale";"Article 1";"123960"
"";"Sparganium minimum Wallr.";"Rubanier nain";"Sparganium natans L., 1753";"Liste des espèces végétales protégées en région Nord-Pas-de-Calais";"Arrêté interministériel du 1er avril 1991 relatif à la liste des espèces végétales protégées en région Nord-Pas-de-Calais complétant la liste nationale";"Article 1";"124412"
"";"Spiranthes spiralis (L.) Chevall.";"Spiranthe d'automne";"Spiranthes spiralis (L.) Chevall., 1827";"Liste des espèces végétales protégées en région Nord-Pas-de-Calais";"Arrêté interministériel du 1er avril 1991 relatif à la liste des espèces végétales protégées en région Nord-Pas-de-Calais complétant la liste nationale";"Article 1";"124701"
"";"Stellaria nemorum L.";"Stellaire des bois";"Stellaria nemorum L., 1753 subsp. nemorum";"Liste des espèces végétales protégées en région Nord-Pas-de-Calais";"Arrêté interministériel du 1er avril 1991 relatif à la liste des espèces végétales protégées en région Nord-Pas-de-Calais complétant la liste nationale";"Article 1";"141462"
"";"Stellaria nemorum L.";"Stellaire des bois";"Stellaria nemorum nothosubsp. kersii Romo, 1987";"Liste des espèces végétales protégées en région Nord-Pas-de-Calais";"Arrêté interministériel du 1er avril 1991 relatif à la liste des espèces végétales protégées en région Nord-Pas-de-Calais complétant la liste nationale";"Article 1";"141460"
"";"Stellaria nemorum L.";"Stellaire des bois";"Stellaria nemorum subsp. montana Berher, 1887";"Liste des espèces végétales protégées en région Nord-Pas-de-Calais";"Arrêté interministériel du 1er avril 1991 relatif à la liste des espèces végétales protégées en région Nord-Pas-de-Calais complétant la liste nationale";"Article 1";"141461"
"";"Stellaria nemorum L.";"Stellaire des bois";"Stellaria nemorum L., 1753";"Liste des espèces végétales protégées en région Nord-Pas-de-Calais";"Arrêté interministériel du 1er avril 1991 relatif à la liste des espèces végétales protégées en région Nord-Pas-de-Calais complétant la liste nationale";"Article 1";"125021"
"";"Stellaria palustris Retz.";"Stellaire glauque";"Stellaria palustris Ehrh. ex Hoffm., 1791";"Liste des espèces végétales protégées en région Nord-Pas-de-Calais";"Arrêté interministériel du 1er avril 1991 relatif à la liste des espèces végétales protégées en région Nord-Pas-de-Calais complétant la liste nationale";"Article 1";"125024"
"";"Stratiotes aloides L.";"Faux-aloès";"Stratiotes aloides L., 1753";"Liste des espèces végétales protégées en région Nord-Pas-de-Calais";"Arrêté interministériel du 1er avril 1991 relatif à la liste des espèces végétales protégées en région Nord-Pas-de-Calais complétant la liste nationale";"Article 1";"125219"
"";"Teesdalia nudicaulis (L.) R. Br.";"Téesdalie";"Teesdalia nudicaulis (L.) W.T.Aiton, 1812";"Liste des espèces végétales protégées en région Nord-Pas-de-Calais";"Arrêté interministériel du 1er avril 1991 relatif à la liste des espèces végétales protégées en région Nord-Pas-de-Calais complétant la liste nationale";"Article 1";"125831"
"";"Tetragonolobus maritimus (L.) Roth";"Lotier à gousse carrée";"Lotus maritimus L., 1753 var. maritimus";"Liste des espèces végétales protégées en région Nord-Pas-de-Calais";"Arrêté interministériel du 1er avril 1991 relatif à la liste des espèces végétales protégées en région Nord-Pas-de-Calais complétant la liste nationale";"Article 1";"148436"
"";"Tetragonolobus maritimus (L.) Roth";"Lotier à gousse carrée";"Lotus maritimus var. hirsutus (Willk.) Kerguélen, 1994";"Liste des espèces végétales protégées en région Nord-Pas-de-Calais";"Arrêté interministériel du 1er avril 1991 relatif à la liste des espèces végétales protégées en région Nord-Pas-de-Calais complétant la liste nationale";"Article 1";"148435"
"";"Tetragonolobus maritimus (L.) Roth";"Lotier à gousse carrée";"Lotus maritimus L., 1753";"Liste des espèces végétales protégées en région Nord-Pas-de-Calais";"Arrêté interministériel du 1er avril 1991 relatif à la liste des espèces végétales protégées en région Nord-Pas-de-Calais complétant la liste nationale";"Article 1";"106685"
"";"Teucrium scordium L.";"Germandrée des marais";"Teucrium scordium L., 1753";"Liste des espèces végétales protégées en région Nord-Pas-de-Calais";"Arrêté interministériel du 1er avril 1991 relatif à la liste des espèces végétales protégées en région Nord-Pas-de-Calais complétant la liste nationale";"Article 1";"126034"
"";"Thalictrum flavum L.";"Pigamon jaune";"Thalictrum flavum L., 1753";"Liste des espèces végétales protégées en région Nord-Pas-de-Calais";"Arrêté interministériel du 1er avril 1991 relatif à la liste des espèces végétales protégées en région Nord-Pas-de-Calais complétant la liste nationale";"Article 1";"126124"
"";"Thalictrum minus L. ssp. dunense (Dum.) Rouy et Fouc.";"Pigamon des dunes";"Thalictrum minus subsp. saxatile (Schleich. ex DC.) Ces., 1844";"Liste des espèces végétales protégées en région Nord-Pas-de-Calais";"Arrêté interministériel du 1er avril 1991 relatif à la liste des espèces végétales protégées en région Nord-Pas-de-Calais complétant la liste nationale";"Article 1";"141630"
"";"Thelypteris palustris Schott";"Thelyptéris des marais";"Thelypteris palustris Schott, 1834 var. palustris";"Liste des espèces végétales protégées en région Nord-Pas-de-Calais";"Arrêté interministériel du 1er avril 1991 relatif à la liste des espèces végétales protégées en région Nord-Pas-de-Calais complétant la liste nationale";"Article 1";"970826"
"";"Thelypteris palustris Schott";"Thelyptéris des marais";"Thelypteris palustris Schott, 1834";"Liste des espèces végétales protégées en région Nord-Pas-de-Calais";"Arrêté interministériel du 1er avril 1991 relatif à la liste des espèces végétales protégées en région Nord-Pas-de-Calais complétant la liste nationale";"Article 1";"126276"
"";"Trifolium medium L.";"Trèfle intermédiare";"Trifolium medium L., 1759 subsp. medium";"Liste des espèces végétales protégées en région Nord-Pas-de-Calais";"Arrêté interministériel du 1er avril 1991 relatif à la liste des espèces végétales protégées en région Nord-Pas-de-Calais complétant la liste nationale";"Article 1";"141872"
"";"Trifolium medium L.";"Trèfle intermédiare";"Trifolium medium L., 1759";"Liste des espèces végétales protégées en région Nord-Pas-de-Calais";"Arrêté interministériel du 1er avril 1991 relatif à la liste des espèces végétales protégées en région Nord-Pas-de-Calais complétant la liste nationale";"Article 1";"127382"
"";"Triglochin palustre L.";"Troscart des marais";"Triglochin palustris L., 1753";"Liste des espèces végétales protégées en région Nord-Pas-de-Calais";"Arrêté interministériel du 1er avril 1991 relatif à la liste des espèces végétales protégées en région Nord-Pas-de-Calais complétant la liste nationale";"Article 1";"127547"
"";"Utricularia vulgaris L.";"Utriculaire commune";"Utricularia vulgaris L., 1753";"Liste des espèces végétales protégées en région Nord-Pas-de-Calais";"Arrêté interministériel du 1er avril 1991 relatif à la liste des espèces végétales protégées en région Nord-Pas-de-Calais complétant la liste nationale";"Article 1";"128322"
"";"Vaccinium myrtillus L.";"Myrtille";"Vaccinium myrtillus L., 1753";"Liste des espèces végétales protégées en région Nord-Pas-de-Calais";"Arrêté interministériel du 1er avril 1991 relatif à la liste des espèces végétales protégées en région Nord-Pas-de-Calais complétant la liste nationale";"Article 1";"128345"
"";"Valeriana dioica L.";"Valériane dioïque";"Valeriana dioica L., 1753 subsp. dioica";"Liste des espèces végétales protégées en région Nord-Pas-de-Calais";"Arrêté interministériel du 1er avril 1991 relatif à la liste des espèces végétales protégées en région Nord-Pas-de-Calais complétant la liste nationale";"Article 1";"142052"
"";"Valeriana dioica L.";"Valériane dioïque";"Valeriana dioica L., 1753";"Liste des espèces végétales protégées en région Nord-Pas-de-Calais";"Arrêté interministériel du 1er avril 1991 relatif à la liste des espèces végétales protégées en région Nord-Pas-de-Calais complétant la liste nationale";"Article 1";"128394"
"";"Veronica scutellata L.";"Véronique à écus";"Veronica scutellata L., 1753";"Liste des espèces végétales protégées en région Nord-Pas-de-Calais";"Arrêté interministériel du 1er avril 1991 relatif à la liste des espèces végétales protégées en région Nord-Pas-de-Calais complétant la liste nationale";"Article 1";"129000"
"";"Veronica teucrium L.";"Véronique germandrée";"Veronica teucrium L., 1762";"Liste des espèces végétales protégées en région Nord-Pas-de-Calais";"Arrêté interministériel du 1er avril 1991 relatif à la liste des espèces végétales protégées en région Nord-Pas-de-Calais complétant la liste nationale";"Article 1";"129022"
"";"Viola canina L.";"Violette des chiens";"Viola canina L., 1753 subsp. canina";"Liste des espèces végétales protégées en région Nord-Pas-de-Calais";"Arrêté interministériel du 1er avril 1991 relatif à la liste des espèces végétales protégées en région Nord-Pas-de-Calais complétant la liste nationale";"Article 1";"142305"
"";"Viola canina L.";"Violette des chiens";"Viola canina nothosubsp. einseleana (F.W.Schultz ex Nyman) Erben, 2002";"Liste des espèces végétales protégées en région Nord-Pas-de-Calais";"Arrêté interministériel du 1er avril 1991 relatif à la liste des espèces végétales protégées en région Nord-Pas-de-Calais complétant la liste nationale";"Article 1";"718296"
"";"Viola canina L.";"Violette des chiens";"Viola canina subsp. ruppii (All.) Schübl. & G.Martens, 1834";"Liste des espèces végétales protégées en région Nord-Pas-de-Calais";"Arrêté interministériel du 1er avril 1991 relatif à la liste des espèces végétales protégées en région Nord-Pas-de-Calais complétant la liste nationale";"Article 1";"142317"
"";"Viola canina L.";"Violette des chiens";"Viola canina L., 1753";"Liste des espèces végétales protégées en région Nord-Pas-de-Calais";"Arrêté interministériel du 1er avril 1991 relatif à la liste des espèces végétales protégées en région Nord-Pas-de-Calais complétant la liste nationale";"Article 1";"129529"
"";"Viola palustris L.";"Violette des marais";"Viola palustris L., 1753";"Liste des espèces végétales protégées en région Nord-Pas-de-Calais";"Arrêté interministériel du 1er avril 1991 relatif à la liste des espèces végétales protégées en région Nord-Pas-de-Calais complétant la liste nationale";"Article 1";"129639"
