"";"Nom cité dans le texte";"Nom français cité dans le texte";"Nom valide";"INTITULE";"ARRETE";"ARTICLE";"CD_NOM"
"";"Cymodocea nodosa Ascherson";"Cymodocée, paille de mer";"Cymodocea nodosa (Ucria) Asch., 1869";"Liste des espèces végétales marines protégées en France métropolitaine";"Arrêté ministériel du 19 juillet 1988 relatif à la liste des espèces végétales marines protégées";"Article 1er";"93774"
"";"Posidonia oceanica (L.) Delille";"Pelote de mer, chiendent marin";"Posidonia oceanica (L.) Delile, 1813";"Liste des espèces végétales marines protégées en France métropolitaine";"Arrêté ministériel du 19 juillet 1988 relatif à la liste des espèces végétales marines protégées";"Article 1er";"115222"
