"";"Nom cité dans le texte";"Nom français cité dans le texte";"Nom valide";"INTITULE";"ARRETE";"ARTICLE";"CD_NOM"
"";"Helix aspersa";"Escargot petit-gris";"Cornu aspersum (O.F. Müller, 1774)";"Liste des escargots dont le ramassage et la cession à titre gratuit ou onéreux peuvent être interdits ou autorisés sur le territoire français métropolitain";"Arrêté interministériel du 24 avril 1979 fixant la liste des escargots dont le ramassage et la cession à titre gratuit ou onéreux peuvent être interdits ou autorisés";"Article 1";"199863"
"";"Helix aspersa";"Escargot petit-gris";"Cornu aspersum (O.F. Müller, 1774)";"Liste des escargots dont le ramassage et la cession à titre gratuit ou onéreux peuvent être interdits ou autorisés sur le territoire français métropolitain";"Arrêté interministériel du 24 avril 1979 fixant la liste des escargots dont le ramassage et la cession à titre gratuit ou onéreux peuvent être interdits ou autorisés";"Article 1b";"199863"
"";"Helix pomatia";"Escargot de Bourgogne";"Helix pomatia Linnaeus, 1758";"Liste des escargots dont le ramassage et la cession à titre gratuit ou onéreux peuvent être interdits ou autorisés sur le territoire français métropolitain";"Arrêté interministériel du 24 avril 1979 fixant la liste des escargots dont le ramassage et la cession à titre gratuit ou onéreux peuvent être interdits ou autorisés";"Article 1";"64260"
"";"Helix pomatia";"Escargot de Bourgogne";"Helix pomatia Linnaeus, 1758";"Liste des escargots dont le ramassage et la cession à titre gratuit ou onéreux peuvent être interdits ou autorisés sur le territoire français métropolitain";"Arrêté interministériel du 24 avril 1979 fixant la liste des escargots dont le ramassage et la cession à titre gratuit ou onéreux peuvent être interdits ou autorisés";"Article 1a";"64260"
"";"Zonites algirus";"Escargot peson";"Zonites algirus (Linnaeus, 1758)";"Liste des escargots dont le ramassage et la cession à titre gratuit ou onéreux peuvent être interdits ou autorisés sur le territoire français métropolitain";"Arrêté interministériel du 24 avril 1979 fixant la liste des escargots dont le ramassage et la cession à titre gratuit ou onéreux peuvent être interdits ou autorisés";"Article 1";"64199"
"";"Zonites algirus";"Escargot peson";"Zonites algirus (Linnaeus, 1758)";"Liste des escargots dont le ramassage et la cession à titre gratuit ou onéreux peuvent être interdits ou autorisés sur le territoire français métropolitain";"Arrêté interministériel du 24 avril 1979 fixant la liste des escargots dont le ramassage et la cession à titre gratuit ou onéreux peuvent être interdits ou autorisés";"Article 1c";"64199"
