ordre;CD_REF;CD_NOM;NOM_CITE;AUTEUR;NOMS_COMMUNS;POPULATION;RANG;FAMILLE;ENDEMISME;COMMENTAIRE;STATUT;CRITERES;TENDANCE;VERSION;STATUT_I;STATUT_EU;ANNEEEVAL;NOM_LISTE;GROUPE_GRAND_PUBLIC;
"45";"239385";"239385";"Andrena marginata Fabricius, 1776";"Fabricius, 1777";"";"";"ES";"Andrenidae";"";"";"DD";"";"";"2023.1";"";"DD";"2014";"Liste rouge européenne des espèces menacées";"Insectes et araignées";
"45";"239387";"239387";"Andrena minutula (Kirby, 1802)";"(Kirby, 1802)";"";"";"ES";"Andrenidae";"";"";"DD";"";"";"2023.1";"";"DD";"2014";"Liste rouge européenne des espèces menacées";"Insectes et araignées";
"45";"239388";"239388";"Andrena minutuloides Perkins, 1914";"Perkins, 1914";"";"";"ES";"Andrenidae";"";"";"DD";"";"";"2023.1";"";"DD";"2014";"Liste rouge européenne des espèces menacées";"Insectes et araignées";
"45";"239389";"239389";"Andrena mitis Schmiedeknecht, 1883";"Schmiedeknecht, 1883";"";"";"ES";"Andrenidae";"";"";"DD";"";"";"2023.1";"";"DD";"2014";"Liste rouge européenne des espèces menacées";"Insectes et araignées";
"45";"317589";"317589";"Andrena montana Warncke, 1973";"Warncke, 1973";"";"";"ES";"Andrenidae";"";"";"DD";"";"";"2023.1";"DD";"DD";"2015";"Liste rouge européenne des espèces menacées";"Insectes et araignées";
"45";"239390";"239390";"Andrena morio Brullé, 1832";"Brullé, 1832";"";"";"ES";"Andrenidae";"";"";"DD";"";"";"2023.1";"";"DD";"2014";"Liste rouge européenne des espèces menacées";"Insectes et araignées";
"45";"239391";"239391";"Andrena mucida Kriechbaumer, 1873";"Kriechbaumer, 1873";"";"";"ES";"Andrenidae";"";"";"DD";"";"";"2023.1";"";"DD";"2014";"Liste rouge européenne des espèces menacées";"Insectes et araignées";
"45";"239393";"239393";"Andrena nanula Nylander, 1848";"Nylander, 1848";"";"";"ES";"Andrenidae";"";"";"DD";"";"";"2023.1";"";"DD";"2013";"Liste rouge européenne des espèces menacées";"Insectes et araignées";
"45";"239394";"239394";"Andrena nigriceps (Kirby, 1802)";"(Kirby, 1802)";"";"";"ES";"Andrenidae";"";"";"DD";"";"";"2023.1";"";"DD";"2014";"Liste rouge européenne des espèces menacées";"Insectes et araignées";
"45";"239398";"239398";"Andrena nigroviridula Dours, 1873";"Dours, 1873";"";"";"ES";"Andrenidae";"";"";"DD";"";"";"2023.1";"";"DD";"2015";"Liste rouge européenne des espèces menacées";"Insectes et araignées";
"45";"239400";"239400";"Andrena nitidula Pérez, 1903";"Pérez, 1903";"";"";"ES";"Andrenidae";"";"";"DD";"";"";"2023.1";"DD";"DD";"2013";"Liste rouge européenne des espèces menacées";"Insectes et araignées";
"45";"239402";"239402";"Andrena niveata Friese, 1887";"Friese, 1887";"";"";"ES";"Andrenidae";"";"";"DD";"";"";"2023.1";"";"DD";"2014";"Liste rouge européenne des espèces menacées";"Insectes et araignées";
"45";"239403";"239403";"Andrena numida Lepeletier, 1841";"Lepeletier, 1841";"";"";"ES";"Andrenidae";"";"";"DD";"";"";"2023.1";"";"DD";"2013";"Liste rouge européenne des espèces menacées";"Insectes et araignées";
"45";"239405";"239405";"Andrena nycthemera Imhoff, 1868";"Imhoff, 1868";"";"";"ES";"Andrenidae";"";"";"DD";"";"";"2023.1";"";"DD";"2014";"Liste rouge européenne des espèces menacées";"Insectes et araignées";
"45";"317607";"317607";"Andrena oviventris Pérez, 1895";"Pérez, 1895";"";"";"ES";"Andrenidae";"";"";"DD";"";"";"2023.1";"";"DD";"2014";"Liste rouge européenne des espèces menacées";"Insectes et araignées";
"45";"239408";"239408";"Andrena pallitarsis Pérez, 1903";"Pérez, 1903";"";"";"ES";"Andrenidae";"";"";"DD";"";"";"2023.1";"";"DD";"2015";"Liste rouge européenne des espèces menacées";"Insectes et araignées";
"45";"239412";"239412";"Andrena paucisquama Noskiewicz, 1924";"Noskiewicz, 1924";"";"";"ES";"Andrenidae";"";"";"DD";"";"";"2023.1";"";"DD";"2015";"Liste rouge européenne des espèces menacées";"Insectes et araignées";
"45";"814737";"814737";"Andrena pauxilla Stöckhert, 1935";"Stöckhert, 1935";"";"";"ES";"Andrenidae";"";"";"DD";"";"";"2023.1";"DD";"DD";"2015";"Liste rouge européenne des espèces menacées";"Insectes et araignées";
"45";"239413";"239413";"Andrena pellucens Pérez, 1895";"Pérez, 1895";"";"";"ES";"Andrenidae";"";"";"DD";"";"";"2023.1";"DD";"DD";"2014";"Liste rouge européenne des espèces menacées";"Insectes et araignées";
"45";"239416";"239416";"Andrena potentillae Panzer, 1809";"Panzer, 1808";"";"";"ES";"Andrenidae";"";"";"DD";"";"";"2023.1";"";"DD";"2015";"Liste rouge européenne des espèces menacées";"Insectes et araignées";
"45";"939590";"939590";"Andrena producta Warncke, 1973";"Warncke, 1973";"";"";"ES";"Andrenidae";"";"";"DD";"";"";"2023.1";"";"DD";"2013";"Liste rouge européenne des espèces menacées";"Insectes et araignées";
"45";"718531";"718531";"Andrena propinqua Schenck, 1853";"Schenck, 1853";"";"";"ES";"Andrenidae";"";"";"DD";"";"";"2023.1";"";"DD";"2015";"Liste rouge européenne des espèces menacées";"Insectes et araignées";
"45";"239418";"239418";"Andrena proxima (Kirby, 1802)";"(Kirby, 1802)";"";"";"ES";"Andrenidae";"";"";"DD";"";"";"2023.1";"";"DD";"2015";"Liste rouge européenne des espèces menacées";"Insectes et araignées";
"45";"239419";"239419";"Andrena pusilla Pérez, 1903";"Pérez, 1903";"";"";"ES";"Andrenidae";"";"";"DD";"";"";"2023.1";"";"DD";"2015";"Liste rouge européenne des espèces menacées";"Insectes et araignées";
"45";"239421";"239421";"Andrena ranunculorum Morawitz, 1877";"Morawitz, 1877";"";"";"ES";"Andrenidae";"";"";"DD";"";"";"2023.1";"";"DD";"2015";"Liste rouge européenne des espèces menacées";"Insectes et araignées";
