ordre;CD_REF;CD_NOM;NOM_CITE;AUTEUR;NOMS_COMMUNS;POPULATION;RANG;FAMILLE;ENDEMISME;COMMENTAIRE;STATUT;CRITERES;TENDANCE;VERSION;STATUT_I;STATUT_EU;ANNEEEVAL;NOM_LISTE;TYPE_LISTE;GROUPE_GRAND_PUBLIC;
"40";"351";"351";"Rana temporaria Linnaeus, 1758";"Linnaeus, 1758";"Grenouille rousse";"";"ES";"Ranidae";"";"";"LC";"";"";"2015";"LC";"";"";"Liste rouge régionale des Amphibiens et Reptiles du Nord - Pas-de-Calais";"LRR_Amphibiens_Reptiles_NPDC_2015";"Amphibiens et reptiles";
"40";"79278";"820248";"Zootoca vivipara (Jacquin, 1787)";"(Jacquin, 1787)";"Lézard vivipare";"";"ES";"Lacertidae";"";"";"LC";"";"";"2015";"";"";"";"Liste rouge régionale des Amphibiens et Reptiles du Nord - Pas-de-Calais";"LRR_Amphibiens_Reptiles_NPDC_2015";"Amphibiens et reptiles";
"45";"77955";"77955";"Coronella austriaca Laurenti, 1768";"Laurenti, 1768";"Coronelle lisse";"";"ES";"Colubridae";"";"";"DD";"";"";"2015";"LC";"LC";"";"Liste rouge régionale des Amphibiens et Reptiles du Nord - Pas-de-Calais";"LRR_Amphibiens_Reptiles_NPDC_2015";"Amphibiens et reptiles";
"45";"444440";"444440";"Pelophylax kl. esculentus (Linnaeus, 1758)";"(Linnaeus, 1758)";"Grenouille verte";"";"ES";"Ranidae";"";"";"DD";"";"";"2015";"";"";"";"Liste rouge régionale des Amphibiens et Reptiles du Nord - Pas-de-Calais";"LRR_Amphibiens_Reptiles_NPDC_2015";"Amphibiens et reptiles";
"45";"444441";"444441";"Pelophylax lessonae (Camerano, 1882)";"(Camerano, 1882)";"Grenouille verte de Lessona";"";"ES";"Ranidae";"";"";"DD";"";"";"2015";"LC";"LC";"";"Liste rouge régionale des Amphibiens et Reptiles du Nord - Pas-de-Calais";"LRR_Amphibiens_Reptiles_NPDC_2015";"Amphibiens et reptiles";
"50";"819822";"701816";"Bufo viridis (Laurenti 1768)";"(Laurenti, 1768)";"Crapaud vert";"";"ES";"Bufonidae";"";"";"NE";"";"";"2015";"";"";"";"Liste rouge régionale des Amphibiens et Reptiles du Nord - Pas-de-Calais";"LRR_Amphibiens_Reptiles_NPDC_2015";"Amphibiens et reptiles";
"50";"77949";"77949";"Hierophis viridiflavus (Lacépède, 1789)";"(Lacepède, 1789)";"Couleuvre verte et jaune";"";"ES";"Colubridae";"";"";"NE";"";"";"2015";"LC";"LC";"";"Liste rouge régionale des Amphibiens et Reptiles du Nord - Pas-de-Calais";"LRR_Amphibiens_Reptiles_NPDC_2015";"Amphibiens et reptiles";
"50";"310";"310";"Rana dalmatina Fitzinger in  Bonaparte, 1838";"Fitzinger in Bonaparte, 1838";"Grenouille agile";"";"ES";"Ranidae";"";"";"NE";"";"";"2015";"LC";"LC";"";"Liste rouge régionale des Amphibiens et Reptiles du Nord - Pas-de-Calais";"LRR_Amphibiens_Reptiles_NPDC_2015";"Amphibiens et reptiles";
"50";"78130";"78130";"Vipera aspis (Linnaeus, 1758)";"(Linnaeus, 1758)";"Vipère aspic";"";"ES";"Viperidae";"";"";"NE";"";"";"2015";"LC";"LC";"";"Liste rouge régionale des Amphibiens et Reptiles du Nord - Pas-de-Calais";"LRR_Amphibiens_Reptiles_NPDC_2015";"Amphibiens et reptiles";
"55";"77338";"77338";"Chelonia mydas (Linnaeus, 1758)";"(Linnaeus, 1758)";"Tortue franche";"";"ES";"Cheloniidae";"";"";"NA";"";"";"2015";"EN";"";"";"Liste rouge régionale des Amphibiens et Reptiles du Nord - Pas-de-Calais";"LRR_Amphibiens_Reptiles_NPDC_2015";"Amphibiens et reptiles";
"55";"77367";"77367";"Dermochelys coriacea (Vandelli 1761)";"(Vandellius, 1761)";"Tortue luth";"";"ES";"Dermochelyidae";"";"";"NA";"";"";"2015";"VU";"";"";"Liste rouge régionale des Amphibiens et Reptiles du Nord - Pas-de-Calais";"LRR_Amphibiens_Reptiles_NPDC_2015";"Amphibiens et reptiles";
"55";"77381";"77381";"Emys orbicularis (Linnaeus, 1758)";"(Linnaeus, 1758)";"Cistude d'Europe";"";"ES";"Emydidae";"";"";"NA";"";"";"2015";"LR/nt";"NT";"";"Liste rouge régionale des Amphibiens et Reptiles du Nord - Pas-de-Calais";"LRR_Amphibiens_Reptiles_NPDC_2015";"Amphibiens et reptiles";
