"";"Nom de référence";"Nom vernaculaire";"Statut*";"Règne";"Classe";"Ordre";"Famille";"CD_REF";"CD_NOM";
"";"Azolla filiculoides Lam., 1783";"Azolle fausse fougère, Azolla fausse fougère, Fougère d'eau, Azolle fausse filicule";"J";"Plantae (Plantes)";"Equisetopsida (Équisétopsides)";"Salviniales (Salviniales)";"Salviniaceae (Salviniacées)";"85469";"85469"
"";"Baccharis halimifolia L., 1753";"Baccharis à feuilles d'Halimium, Baccharide à feuilles d'Halimium, Séneçon en arbre";"J";"Plantae (Plantes)";"Equisetopsida (Équisétopsides)";"Asterales (Astérales)";"Asteraceae (Astéracées)";"85474";"85474"
"";"Bactrocera oleae (Rossi, 1790)";"Mouche de l’olive, Mouche de l’olivier";"J";"Animalia (Animaux)";"Insecta (Insectes)";"Diptera (Mouches, Moustiques, Cousins)";"Tephritidae";"653205";"653205"
"";"Ballerus sapa (Pallas, 1814)";"Brème de Danube";"J";"Animalia (Animaux)";"Actinopterygii (Actinopterygiens, Poissons actinoptérygiens)";"Cypriniformes";"Leuciscidae";"347940";"347940"
"";"Batrachedra enormis Meyrick, 1928";"";"J";"Animalia (Animaux)";"Insecta (Insectes)";"Lepidoptera (Papillons)";"Batrachedridae";"843411";"843411"
"";"Bidens frondosa L., 1753";"Bident feuillé, Bident à fruits noirs, Bident feuillu";"J";"Plantae (Plantes)";"Equisetopsida (Équisétopsides)";"Asterales (Astérales)";"Asteraceae (Astéracées)";"85957";"85957"
"";"Blastobasis adustella Walsingham, 1894";"";"J";"Animalia (Animaux)";"Insecta (Insectes)";"Lepidoptera (Papillons)";"Blastobasidae";"342175";"342175"
"";"Blastobasis glandulella (Riley, 1871)";"";"J";"Animalia (Animaux)";"Insecta (Insectes)";"Lepidoptera (Papillons)";"Blastobasidae";"727311";"727311"
"";"Boccardia polybranchia (Haswell, 1885)";"";"J";"Animalia (Animaux)";"Polychaeta (Vers annelés marins, Polychètes)";"Spionida";"Spionidae";"369913";"369913"
"";"Bonnemaisonia hamifera Har., 1891";"Porte-crochets, Plume épineuse rouge";"J";"Plantae (Plantes)";"Florideophyceae";"Bonnemaisoniales";"Bonnemaisoniaceae";"72534";"72534"
